sampleID	slice	medium	dilution	counts	manually_ex	auto_ex	used_counts	ex2	real_counts	real_counts_zero	log_counts	underestimation	undest_logcounts	ex3
B4	5	BR	2	107		0	107	0	10700	10700	4.029383778	0	4.029383778	0
B4	5	BR	3	12		0	12	0	12000	12000	4.079181246	0	4.079181246	0
B4	5	MRS	5	300		x	300	x				0		x
B4	5	MRS	6	90		0	90	0	90000000	90000000	7.954242509	0	7.954242509	0
B4	5	MRS	7	8		0		x				0		x
B4	5	PCA	5	300		x	300	x				0		x
B4	5	PCA	6	90		0	90	0	90000000	90000000	7.954242509	0	7.954242509	0
B4	5	PCA	7	6		0		x				0		x
B4	5	VRBD	3	300		x	300	x				0		x
B4	5	VRBD	4	225		0	225	0	2250000	2250000	6.352182518	0	6.352182518	0
B4	5	YGC25	2	226		0	226	0	22600	22600	4.354108439	0	4.354108439	0
B4	5	YGC25	3	19		0	19	0	19000	19000	4.278753601	0	4.278753601	0
B4	5	YGC4	2	160		0	160	0	16000	16000	4.204119983	0	4.204119983	0
B4	5	YGC4	3	28		0	28	0	28000	28000	4.447158031	0	4.447158031	0
B4	6	BR	2	300		x	300	x				0		x
B4	6	BR	3	46		0	46	0	46000	46000	4.662757832	0	4.662757832	0
B4	6	MRS	5	219		0	219	0	21900000	21900000	7.340444115	0	7.340444115	0
B4	6	MRS	6	33		0	33	0	33000000	33000000	7.51851394	0	7.51851394	0
B4	6	MRS	7	5		0		x				0		x
B4	6	PCA	5	246		0	246	0	24600000	24600000	7.390935107	0	7.390935107	0
B4	6	PCA	6	38		0	38	0	38000000	38000000	7.579783597	0	7.579783597	0
B4	6	PCA	7	2		0		x				0		x
B4	6	VRBD	2	300		x	300	x				0		x
B4	6	VRBD	3	300		x	300	x				0		x
B4	6	VRBD	4	148		0	148	0	1480000	1480000	6.170261715	0	6.170261715	0
B4	6	YGC25	2	300		x	300	x				0		x
B4	6	YGC25	3	78		0	78	0	78000	78000	4.892094603	0	4.892094603	0
B4	6	YGC4	2	300		x	300	x				0		x
B4	6	YGC4	3	54		0	54	0	54000	54000	4.73239376	0	4.73239376	0
B4	7	BR	2	300		x	300	x				0		x
B4	7	BR	3	125		0	125	0	125000	125000	5.096910013	0	5.096910013	0
B4	7	MRS	5	225		0	225	0	22500000	22500000	7.352182518	0	7.352182518	0
B4	7	MRS	6	29		0	29	0	29000000	29000000	7.462397998	0	7.462397998	0
B4	7	MRS	7	2		0		x				0		x
B4	7	PCA	5	207		0	207	0	20700000	20700000	7.315970345	0	7.315970345	0
B4	7	PCA	6	32		0	32	0	32000000	32000000	7.505149978	0	7.505149978	0
B4	7	PCA	7	5		0		x				0		x
B4	7	VRBD	1	300		x	300	x				0		x
B4	7	VRBD	2	300		x	300	x				0		x
B4	7	VRBD	3	300		x	300	x				1	5.477121255	0
B4	7	YGC25	2	300		x	300	x				0		x
B4	7	YGC25	3	145		0	145	0	145000	145000	5.161368002	0	5.161368002	0
B4	7	YGC4	2		x	x	0	x				0		x
B4	7	YGC4	3		x	x		x				0		x
B4	8	BR	3	20		0	20	0	20000	20000	4.301029996	0	4.301029996	0
B4	8	BR	4	0		0		x				0		x
B4	8	MRS	5	125		0	125	0	12500000	12500000	7.096910013	0	7.096910013	0
B4	8	MRS	6	20		0	20	0	20000000	20000000	7.301029996	0	7.301029996	0
B4	8	MRS	7	2		0		x				0		x
B4	8	PCA	5	115		0	115	0	11500000	11500000	7.06069784	0	7.06069784	0
B4	8	PCA	6	15		0	15	0	15000000	15000000	7.176091259	0	7.176091259	0
B4	8	PCA	7	4		0		x				0		x
B4	8	VRBD	3	300		x	300	x				0		x
B4	8	VRBD	4	300		x	300	x				0		x
B4	8	VRBD	5	35		0	35	0	3500000	3500000	6.544068044	0	6.544068044	0
B4	8	YGC25	3	34		0	34	0	34000	34000	4.531478917	0	4.531478917	0
B4	8	YGC25	4	2		0		x				0		x
B5	1	BR	1	12		0	12	0	360	360	2.556302501	0	2.556302501	0
B5	1	BR	2	6		0		x				0		x
B5	1	MRS	2	34		0	34	0	3400	3400	3.531478917	0	3.531478917	0
B5	1	MRS	3	4		0		x				0		x
B5	1	PCA	2	17		0	17	0	1700	1700	3.230448921	0	3.230448921	0
B5	1	PCA	3	0		0		x				0		x
B5	1	RCM	3	11		0	11	0	11000	11000	4.041392685	0	4.041392685	0
B5	1	VRBD	1	3		0	3	0	90	90	1.954242509	0	1.954242509	0
B5	1	VRBD	2	0		0		x				0		x
B5	1	YGC25	1	23		0	23	0	690	690	2.838849091	0	2.838849091	0
B5	1	YGC25	2	5		0		x				0		x
B5	1	YGC4	1	17		0	17	0	510	510	2.707570176	0	2.707570176	0
B5	1	YGC4	2	4		0		x				0		x
B5	2	BR	1	132		0	132	0	3960	3960	3.597695186	0	3.597695186	0
B5	2	BR	2	2		0		x				0		x
B5	2	MRS	2	300		x	300	x				0		x
B5	2	MRS	3	19		0	19	0	19000	19000	4.278753601	0	4.278753601	0
B5	2	MRS	4	1		0		x				0		x
B5	2	PCA	2	300		x	300	x				0		x
B5	2	PCA	3	160		0	160	0	160000	160000	5.204119983	0	5.204119983	0
B5	2	PCA	4	7		0		x				0		x
B5	2	VRBD	1	0		0	0	0	0	1	0	0	0	0
B5	2	VRBD	2	0		0		x				0		x
B5	2	YGC25	1	118		0	118	0	3540	3540	3.549003262	0	3.549003262	0
B5	2	YGC25	2	47		0	47	0	4700	4700	3.672097858	0	3.672097858	0
B5	2	YGC4	1	93		0	93	0	2790	2790	3.445604203	0	3.445604203	0
B5	2	YGC4	2	32		0	32	0	3200	3200	3.505149978	0	3.505149978	0
B5	3	BR	1	200	x	x	200	x				0		x
B5	3	BR	2	68		0	68	0	6800	6800	3.832508913	0	3.832508913	0
B5	3	MRS	3	300		x	300	x				0		x
B5	3	MRS	4	58		0	58	0	580000	580000	5.763427994	0	5.763427994	0
B5	3	MRS	5	5		0		x				0		x
B5	3	PCA	3	300		x	300	x				0		x
B5	3	PCA	4	96		0	96	0	960000	960000	5.982271233	0	5.982271233	0
B5	3	PCA	5	6		0		x				0		x
B5	3	RCM	3	300		x	300	x				1	5.477121255	0
B5	3	VRBD	1	235		0	235	0	7050	7050	3.848189117	0	3.848189117	0
B5	3	VRBD	2	73		0	73	0	7300	7300	3.86332286	0	3.86332286	0
B5	3	VRBD	3	8		0		x				0		x
B5	3	YGC25	1	200	x	x	200	x				0		x
B5	3	YGC25	2	71		0	71	0	7100	7100	3.851258349	0	3.851258349	0
B5	3	YGC4	1	155		0	155	0	4650	4650	3.667452953	0	3.667452953	0
B5	3	YGC4	2	86		0	86	0	8600	8600	3.934498451	0	3.934498451	0
B5	4	BR	2	59		0	59	0	5900	5900	3.770852012	0	3.770852012	0
B5	4	BR	3	3		0		x				0		x
B5	4	MRS	5	47		0	47	0	4700000	4700000	6.672097858	0	6.672097858	0
B5	4	MRS	6	1		0		x				0		x
B5	4	PCA	5	21		0	21	0	2100000	2100000	6.322219295	0	6.322219295	0
B5	4	PCA	6	3		0		x				0		x
B5	4	VRBD	2	140		0	140	0	14000	14000	4.146128036	0	4.146128036	0
B5	4	VRBD	3	NA	x	x	NA	x				0		x
B5	4	YGC25	2	117		0	117	0	11700	11700	4.068185862	0	4.068185862	0
B5	4	YGC25	3	4		0		x				0		x
